id,username,email,role,is_active
a46a9d75-659e-4b51-afb2-b6e170255a9e,admin,admin@diplatform.com,admin,True
02dd4a44-65c6-43fb-a5fb-df392c79e5b0,driver9,driver9@diplatform.com,manager,True
6966c086-6b5e-480e-9f97-4076655f4a8a,howard@scenereaderstudio.com,howard@scenereaderstudio.com,admin,True
0b57145a-5387-4f1e-a516-746d93da31fe,dispatcher1,dispatcher1@diplatform.com,dispatcher,True
058bdd7f-cb99-4481-b311-9219591fb6a8,driver39,driver39@diplatform.com,manager,True
0820007e-67f6-4abe-9c01-1a4e1a7fbbe3,driver36,driver36@diplatform.com,manager,True
085ff7bf-2cad-4975-b792-eb40c5e8604c,driver2,driver2@diplatform.com,manager,True
19168a92-9c5d-458f-b353-edd5797cbff6,driver32,driver32@diplatform.com,manager,True
1924013f-a7b3-4d44-b5b5-e88d4fe91826,driver16,driver16@diplatform.com,manager,True
1a7daa3d-66d3-4542-a427-0bed3312dae1,driver48,driver48@diplatform.com,manager,True
1b360656-2c37-4b46-8061-6169004a9600,driver47,driver47@diplatform.com,manager,True
1cf4dddc-f748-490d-ac66-846661216a98,driver22,driver22@diplatform.com,manager,True
20614abd-388a-407f-8347-65518cc7de49,driver31,driver31@diplatform.com,manager,True
21d1effc-8a00-4d97-9c2d-de698ebbec02,driver18,driver18@diplatform.com,manager,True
231f83c6-efb9-4225-9467-c84621ee4685,driver11,driver11@diplatform.com,manager,True
29ddf5e4-2b11-47d6-90bb-974281500b14,driver50,driver50@diplatform.com,manager,True
2a9c0bd3-4acc-4c44-9982-7d2c50cb7d7d,driver10,driver10@diplatform.com,manager,True
2d354082-a4cb-4950-b5b3-538ee756ceed,driver45,driver45@diplatform.com,manager,True
2dc86fec-4f2e-48ab-b77d-76c29bcca0a6,driver26,driver26@diplatform.com,manager,True
33772c30-9c18-4272-8043-1f6f3ee3d7cc,driver7,driver7@diplatform.com,manager,True
3b0fb08c-2f57-474d-a77c-0c313216f8c8,driver44,driver44@diplatform.com,manager,True
41a246e5-baa5-4d2f-836c-3bbc7a5c4b92,driver1,driver1@diplatform.com,manager,True
42ad7ce1-ff56-4f2c-a0a4-b39ee0f05ba1,driver34,driver34@diplatform.com,manager,True
460601ed-dcc7-4628-8779-ee69cfd1672f,driver25,driver25@diplatform.com,manager,True
4a700eb0-8dce-4680-b6aa-7327ef04bc05,driver33,driver33@diplatform.com,manager,True
4b23e3a3-f3cc-4cd0-a9f0-866598d2db28,driver24,driver24@diplatform.com,manager,True
54c6c4d3-93d8-45a5-9ee6-b20cae6e80e3,driver5,driver5@diplatform.com,manager,True
5bbcfcc8-59c5-42df-91d3-1bad180bfea4,driver3,driver3@diplatform.com,manager,True
5ff4aa59-61ac-45b8-948b-6739b91bdc13,driver46,driver46@diplatform.com,manager,True
61b431b4-e164-4107-8047-22ef27a4f780,driver8,driver8@diplatform.com,manager,True
6a9fbcdc-50b3-4d36-a93f-31a1e449b0cf,driver37,driver37@diplatform.com,manager,True
75f3aab2-d498-44da-8369-3c2b89be6988,driver4,driver4@diplatform.com,manager,True
7601b20c-754a-43df-99a7-b3919b8250dc,driver40,driver40@diplatform.com,manager,True
7ce7d533-e0ca-4877-b470-c9dd2fd703da,driver28,driver28@diplatform.com,manager,True
845ca1d7-eedf-4a34-8aa3-82e521489727,driver23,driver23@diplatform.com,manager,True
84d374a4-52ef-49ce-92e6-921dbbc66025,driver19,driver19@diplatform.com,manager,True
852abb2a-9a38-445d-8435-5828ea70b3a6,driver13,driver13@diplatform.com,manager,True
8ebb3c5b-f762-458f-b9ef-b287cb7adbad,driver20,driver20@diplatform.com,manager,True
a0452023-2e71-479c-91b7-9ad38cba3921,driver38,driver38@diplatform.com,manager,True
b190b208-50c2-4c50-a48c-d8d6267f9205,driver21,driver21@diplatform.com,manager,True
b3d174c4-44c4-4049-9d41-d054c05d0820,driver43,driver43@diplatform.com,manager,True
be9deb7f-878f-4f18-8245-f20b99740dde,driver41,driver41@diplatform.com,manager,True
c462e92f-1328-4a90-aeab-5706ba5da219,driver49,driver49@diplatform.com,manager,True
c874d3e8-c493-4ca5-a004-2386103cb5cf,driver14,driver14@diplatform.com,manager,True
cac874d8-9903-464b-9093-f67b1578db77,driver30,driver30@diplatform.com,manager,True
cb709fcb-feea-4d45-840e-99ff27115565,driver27,driver27@diplatform.com,manager,True
ce4d87aa-9d1f-42c0-8afd-58457d8a6362,driver17,driver17@diplatform.com,manager,True
df9aaf14-7695-46c4-8d04-cc3fd92c7b17,driver15,driver15@diplatform.com,manager,True
dfab3821-bdbb-4b4b-907e-01e108a6d71d,driver29,driver29@diplatform.com,manager,True
ea7c6b39-d6b0-44ef-a489-97171a388f3a,driver6,driver6@diplatform.com,manager,True
eeb0f135-6d93-4b1c-b056-3083cec40ad5,driver12,driver12@diplatform.com,manager,True
f79dd6d6-03a8-4176-87ab-a275705371c3,driver42,driver42@diplatform.com,manager,True
f79fb7d1-4ccf-4440-8039-f9d831fd526c,driver35,driver35@diplatform.com,manager,True
